Host Since,Host Listings Count,Host Total Listings Count,Calculated host listings count,Latitude,Longitude,Accommodates,Bathrooms,Bedrooms,Beds,Price,Weekly Price,Monthly Price,Security Deposit,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Maximum Nights,Number of Reviews,First Review,Last Review,Reviews per Month,Review Scores Rating,Property Type_Building,Property Type_Unit,Room Type_Entire home/apt,Room Type_Private room,Room Type_Shared room,Bed Type_Other,Bed Type_Real Bed,Cancellation Policy_flexible,Cancellation Policy_moderate,Cancellation Policy_strict
2016-03-17,2,2,1,40.710483845893,-73.95239894023558,3,1,1,2,100.0,700.0,3000.0,250.0,40.0,1,10.0,1,1125,5,2016-11-23,2016-12-28,0.93,85.0,0,1,0,1,0,0,1,0,0,1
2014-02-18,1,1,1,40.71939982489362,-73.94293948030219,2,1,2,1,125.0,875.0,3750.0,400.0,100.0,1,25.0,4,1125,14,2016-05-10,2017-04-12,1.17,91.0,0,1,1,0,0,0,1,0,0,1
2014-01-06,1,1,1,40.7476813692304,-73.99625039029725,4,1,1,2,350.0,2450.0,10500.0,0.0,185.0,2,50.0,4,1125,3,2015-09-04,2016-07-27,0.15,93.0,0,1,1,0,0,0,1,0,0,1
2014-09-10,1,1,1,40.74338821916142,-73.99774858841505,2,1,1,1,195.0,1365.0,5850.0,400.0,150.0,2,0.0,2,1125,69,2015-01-06,2017-04-21,2.44,96.0,0,1,1,0,0,0,1,0,0,1
2012-04-26,1,1,1,40.74504980550607,-73.99778587348719,2,1,1,1,160.0,1120.0,4800.0,500.0,120.0,1,0.0,4,7,1,2016-10-07,2016-10-07,0.14,100.0,0,1,1,0,0,0,1,0,0,1
2013-12-15,10,10,9,40.74325524540577,-73.99421812565411,3,1,1,1,209.0,1463.0,6270.0,100.0,100.0,2,20.0,1,1125,16,2015-02-16,2015-12-07,0.59,96.0,0,1,0,1,0,0,1,0,0,1
2014-09-18,1,1,1,40.74410765385368,-74.00204186210215,1,1,0,1,100.0,900.0,3108.0,0.0,0.0,1,0.0,3,15,10,2014-10-14,2017-04-26,0.32,98.0,0,1,1,0,0,0,1,0,1,0
2015-04-19,1,1,1,40.74552793555801,-73.99784392408341,1,1,1,1,200.0,1400.0,6000.0,0.0,0.0,1,0.0,1,1125,1,2016-05-21,2016-05-21,0.09,100.0,0,1,0,1,0,0,1,1,0,0
2012-10-22,1,1,1,40.7392428121716,-73.99825351915926,3,1,1,1,150.0,1050.0,4500.0,0.0,85.0,1,0.0,2,5,4,2016-07-18,2017-01-02,0.41,80.0,0,1,1,0,0,0,1,0,0,1
2012-04-16,1,1,1,40.742750278977454,-74.00188426895488,4,1,1,1,223.0,1561.0,6690.0,100.0,60.0,1,20.0,1,1125,125,2012-05-11,2017-04-17,2.06,86.0,0,1,1,0,0,0,1,0,0,1
2017-01-26,1,1,1,40.74736331962128,-73.99457455485334,6,2,2,3,295.0,2065.0,8850.0,200.0,0.0,1,0.0,2,28,12,2017-02-04,2017-04-12,4.0,88.0,0,1,1,0,0,0,1,0,0,1
2014-03-24,2,2,2,40.74525015304217,-73.99228816852326,1,2,1,1,100.0,700.0,3000.0,750.0,70.0,1,20.0,1,1125,1,2017-03-31,2017-03-31,0.86,80.0,0,1,0,1,0,0,1,0,1,0
2014-07-06,1,1,1,40.74252160388264,-73.99749735382589,2,1,0,1,175.0,1225.0,5250.0,0.0,70.0,2,25.0,1,5,18,2014-09-15,2016-05-11,0.56,94.0,0,1,1,0,0,0,1,0,1,0
2013-09-11,1,1,1,40.74169757785928,-73.99780333993634,1,1,0,1,135.0,945.0,4050.0,350.0,45.0,1,0.0,3,1125,31,2015-07-02,2016-12-05,1.38,97.0,0,1,1,0,0,1,0,0,0,1
2013-12-16,1,1,1,40.746109219899225,-74.00013643904956,3,1,1,1,213.0,1491.0,5000.0,300.0,100.0,2,0.0,3,1125,27,2015-06-24,2017-01-05,1.19,96.0,0,1,1,0,0,0,1,0,0,1
2014-06-11,11,11,11,40.74778667892546,-73.99660155586066,1,1,1,1,77.0,539.0,2310.0,0.0,8.0,1,0.0,1,90,21,2016-11-26,2017-04-11,3.91,86.0,0,1,0,1,0,0,1,0,1,0
