Host Since,Host Listings Count,Host Total Listings Count,Calculated host listings count,Latitude,Longitude,Accommodates,Bathrooms,Bedrooms,Beds,Price,PersonPrice,Weekly Price,Monthly Price,PerSecurity,Security Deposit,PerCleaning,Cleaning Fee,Guests Included,Extra People,Minimum Nights,Maximum Nights,Number of Reviews,First Review,Last Review,Reviews per Month,Review Scores Rating,Property Type_Building,Property Type_Unit,Room Type_Entire home/apt,Room Type_Private room,Room Type_Shared room,Bed Type_Other,Bed Type_Real Bed,Cancellation Policy_flexible,Cancellation Policy_moderate,Cancellation Policy_strict
2/27/12,1,1,1,40.72003538,-73.98896447,7,1,3,3,279,39.85714286,1953,5200,0,0,7.142857143,50,3,20,4,1125,9,5/3/15,12/27/16,0.37,0,0,1,1,0,0,0,1,0,1,0
5/5/13,3,3,2,40.71922256,-73.984718,2,1,1,1,69,34.5,483,1997,0,0,45,90,1,0,2,1125,20,7/29/14,2/12/17,0.59,0,0,1,0,1,0,0,1,0,0,1
4/18/15,1,1,1,40.71910104,-73.98540851,3,1,1,1,140,46.66666667,980,3822,0,0,23.33333333,70,1,0,30,1125,19,8/15/15,9/2/16,0.9,0,0,1,1,0,0,0,1,0,1,0
11/12/14,2,2,2,40.72155353,-73.98607761,4,1,2,2,276,69,1932,8280,0,0,25,100,1,0,7,1125,2,1/5/17,4/17/17,0.5,1,0,1,1,0,0,0,1,1,0,0
10/31/12,1,1,1,40.72144231,-73.9891453,2,1,0,1,116,58,812,3480,0,0,45,90,1,0,3,1125,8,8/11/16,4/30/17,0.9,0,0,1,1,0,0,0,1,1,0,0
1/29/14,1,1,1,40.74341629,-73.97505436,2,1,0,1,135,67.5,945,4050,0,0,25,50,1,0,1,1125,1,4/4/16,4/4/16,0.08,0,0,1,1,0,0,0,1,1,0,0
6/25/12,1,1,1,40.74532763,-73.97720171,3,1,0,2,128,42.66666667,896,3840,0,0,5,15,2,15,2,1125,1,4/22/17,4/22/17,1,1,0,1,1,0,0,0,1,0,0,1
5/23/16,2,2,2,40.74299452,-73.98067139,12,3,5,7,927,77.25,6489,27810,0,0,16.66666667,200,1,0,3,1125,7,9/9/16,3/16/17,0.88,0,1,0,1,0,0,0,1,0,0,1
2/11/15,1,1,1,40.73894078,-73.98049229,2,1,0,1,150,75,1050,4500,0,0,50,100,1,0,1,1125,10,4/5/15,1/1/17,0.39,1,0,1,1,0,0,0,1,0,0,1
5/14/12,1,1,1,40.74428336,-73.97808857,4,1,1,1,155,38.75,1085,4650,100,400,23.75,95,2,50,3,21,80,6/10/12,1/28/17,1.34,1,0,1,1,0,0,0,1,0,0,1
11/25/14,2,2,2,40.7201142,-73.99728736,4,1,2,2,265,66.25,1855,7950,0,0,25,100,1,0,1,1125,1,12/10/16,12/10/16,0.2,1,0,1,1,0,0,0,1,0,0,1
